                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80226,                  3.228,                 1.4808,                0.00333,                      1,                0.70587,                0.29958,                0.31995,                 3.1231,                 1.0815,                  2e-05,                  2e-05,                  2e-05
                      2,                0.74438,                 3.1528,                 1.3711,                0.00333,                      1,                  0.971,                0.56852,                0.27823,                 3.0849,                 1.0228,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                0.57297,                 2.9724,                  1.289,                0.00333,                      1,                0.88352,                0.80984,                0.34878,                  3.098,                 1.0521,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                0.40364,                 2.5334,                 1.1133,                0.00333,                      1,                  0.995,                0.86931,                0.40299,                 3.1044,                 1.1131,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                0.40163,                 2.0387,                 1.0976,                0.00333,                      1,                0.98167,                0.82178,                0.38144,                 3.0774,                 1.0726,             0.00010872,             0.00010872,             0.00010872
                      6,                 0.3175,                 1.8926,                 1.0417,                0.00333,                      1,                0.96227,                0.82726,                0.37138,                 3.0059,                 1.0295,              0.0001111,              0.0001111,              0.0001111
                      7,                0.33266,                  1.686,                0.99874,                0.00333,                      1,                  0.955,                0.79268,                0.38096,                 2.9756,                  1.037,             0.00010556,             0.00010556,             0.00010556
                      8,                0.33311,                 1.5736,                0.99515,                0.00333,                      1,                0.96227,                0.81074,                 0.3826,                 2.9457,                 1.0172,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                0.35306,                 1.5105,                 1.0582,                0.00333,                      1,                  0.971,                0.84708,                0.37119,                 2.9241,                 1.0025,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                0.27094,                  1.323,                0.92031,                0.00333,                      1,                  0.971,                0.86646,                0.35705,                 2.9044,                0.97814,              4.142e-05,              4.142e-05,              4.142e-05
